content_count,count
International Movies,2752
Dramas,2426
Comedies,1674
International TV Shows,1349
Documentaries,869
Action & Adventure,859
TV Dramas,762
Independent Movies,756
Children & Family Movies,641
Romantic Movies,616
Thrillers,577
TV Comedies,573
Crime TV Shows,469
Kids' TV,448
Docuseries,394
Music & Musicals,375
Romantic TV Shows,370
Horror Movies,357
Stand-Up Comedy,343
Reality TV,255
